pk,address,city,state,zip_code,unit_number,sq_ft,bedrooms,baths,property,building
24,10464 S. Jordan Gateway,South Jordan,UT,84095,123,871,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
25,10464 S. Jordan Gateway,South Jordan,UT,84095,124,841,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
26,10464 S. Jordan Gateway,South Jordan,UT,84095,125,816,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
27,10464 S. Jordan Gateway,South Jordan,UT,84095,126,881,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
28,10464 S. Jordan Gateway,South Jordan,UT,84095,127,759,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
29,10464 S. Jordan Gateway,South Jordan,UT,84095,128,893,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
30,10464 S. Jordan Gateway,South Jordan,UT,84095,129,780,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
31,10464 S. Jordan Gateway,South Jordan,UT,84095,130,713,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
32,10464 S. Jordan Gateway,South Jordan,UT,84095,131,733,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
33,10464 S. Jordan Gateway,South Jordan,UT,84095,132,752,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
34,10464 S. Jordan Gateway,South Jordan,UT,84095,133,713,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
35,10464 S. Jordan Gateway,South Jordan,UT,84095,134,788,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
36,10464 S. Jordan Gateway,South Jordan,UT,84095,135,793,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
37,10464 S. Jordan Gateway,South Jordan,UT,84095,136,817,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
38,10464 S. Jordan Gateway,South Jordan,UT,84095,137,757,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
39,10464 S. Jordan Gateway,South Jordan,UT,84095,138,811,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
40,10464 S. Jordan Gateway,South Jordan,UT,84095,139,896,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
41,10464 S. Jordan Gateway,South Jordan,UT,84095,140,750,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
42,10464 S. Jordan Gateway,South Jordan,UT,84095,141,720,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
43,10464 S. Jordan Gateway,South Jordan,UT,84095,142,834,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
44,10464 S. Jordan Gateway,South Jordan,UT,84095,143,899,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
45,10464 S. Jordan Gateway,South Jordan,UT,84095,144,834,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
46,10464 S. Jordan Gateway,South Jordan,UT,84095,145,742,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
47,10464 S. Jordan Gateway,South Jordan,UT,84095,146,765,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
48,10464 S. Jordan Gateway,South Jordan,UT,84095,147,702,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
49,10464 S. Jordan Gateway,South Jordan,UT,84095,148,845,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
50,10464 S. Jordan Gateway,South Jordan,UT,84095,149,851,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
51,10464 S. Jordan Gateway,South Jordan,UT,84095,150,892,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
52,10464 S. Jordan Gateway,South Jordan,UT,84095,151,765,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
53,10464 S. Jordan Gateway,South Jordan,UT,84095,152,863,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
54,10464 S. Jordan Gateway,South Jordan,UT,84095,153,794,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
55,10464 S. Jordan Gateway,South Jordan,UT,84095,154,892,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
56,10464 S. Jordan Gateway,South Jordan,UT,84095,155,785,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
57,10464 S. Jordan Gateway,South Jordan,UT,84095,156,712,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
58,10464 S. Jordan Gateway,South Jordan,UT,84095,157,867,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
59,10464 S. Jordan Gateway,South Jordan,UT,84095,158,745,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
60,10464 S. Jordan Gateway,South Jordan,UT,84095,159,784,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
61,10464 S. Jordan Gateway,South Jordan,UT,84095,160,785,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
62,10464 S. Jordan Gateway,South Jordan,UT,84095,161,720,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
63,10464 S. Jordan Gateway,South Jordan,UT,84095,162,737,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
64,10464 S. Jordan Gateway,South Jordan,UT,84095,163,719,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
65,10464 S. Jordan Gateway,South Jordan,UT,84095,164,792,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
66,10464 S. Jordan Gateway,South Jordan,UT,84095,165,824,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
67,10464 S. Jordan Gateway,South Jordan,UT,84095,166,854,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
68,10464 S. Jordan Gateway,South Jordan,UT,84095,167,883,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
69,10464 S. Jordan Gateway,South Jordan,UT,84095,168,873,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
70,10464 S. Jordan Gateway,South Jordan,UT,84095,169,814,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
71,10464 S. Jordan Gateway,South Jordan,UT,84095,170,896,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
72,10464 S. Jordan Gateway,South Jordan,UT,84095,171,900,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
73,10464 S. Jordan Gateway,South Jordan,UT,84095,172,805,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
74,10464 S. Jordan Gateway,South Jordan,UT,84095,173,890,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
75,10464 S. Jordan Gateway,South Jordan,UT,84095,174,823,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
76,10464 S. Jordan Gateway,South Jordan,UT,84095,175,726,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
77,10464 S. Jordan Gateway,South Jordan,UT,84095,176,803,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
78,10464 S. Jordan Gateway,South Jordan,UT,84095,177,785,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
79,10464 S. Jordan Gateway,South Jordan,UT,84095,178,749,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
80,10464 S. Jordan Gateway,South Jordan,UT,84095,179,820,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
81,10464 S. Jordan Gateway,South Jordan,UT,84095,180,778,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
82,10464 S. Jordan Gateway,South Jordan,UT,84095,181,880,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
83,10464 S. Jordan Gateway,South Jordan,UT,84095,182,718,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
84,10464 S. Jordan Gateway,South Jordan,UT,84095,183,892,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
85,10464 S. Jordan Gateway,South Jordan,UT,84095,184,887,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
86,10464 S. Jordan Gateway,South Jordan,UT,84095,185,797,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
87,10464 S. Jordan Gateway,South Jordan,UT,84095,186,841,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
88,10464 S. Jordan Gateway,South Jordan,UT,84095,187,800,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
89,10464 S. Jordan Gateway,South Jordan,UT,84095,188,887,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
90,10464 S. Jordan Gateway,South Jordan,UT,84095,189,865,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
91,10464 S. Jordan Gateway,South Jordan,UT,84095,190,723,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
92,10464 S. Jordan Gateway,South Jordan,UT,84095,191,858,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
93,10464 S. Jordan Gateway,South Jordan,UT,84095,192,893,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
94,10464 S. Jordan Gateway,South Jordan,UT,84095,193,810,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
95,10464 S. Jordan Gateway,South Jordan,UT,84095,194,808,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
96,10464 S. Jordan Gateway,South Jordan,UT,84095,195,791,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
97,10464 S. Jordan Gateway,South Jordan,UT,84095,196,737,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
98,10464 S. Jordan Gateway,South Jordan,UT,84095,197,760,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
99,10464 S. Jordan Gateway,South Jordan,UT,84095,198,859,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
100,10464 S. Jordan Gateway,South Jordan,UT,84095,199,786,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
101,10464 S. Jordan Gateway,South Jordan,UT,84095,200,829,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
102,10464 S. Jordan Gateway,South Jordan,UT,84095,201,843,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
103,10464 S. Jordan Gateway,South Jordan,UT,84095,202,746,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
104,10464 S. Jordan Gateway,South Jordan,UT,84095,203,793,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
105,10464 S. Jordan Gateway,South Jordan,UT,84095,204,770,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
106,10464 S. Jordan Gateway,South Jordan,UT,84095,205,827,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
107,10464 S. Jordan Gateway,South Jordan,UT,84095,206,852,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
108,10464 S. Jordan Gateway,South Jordan,UT,84095,207,797,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
109,10464 S. Jordan Gateway,South Jordan,UT,84095,208,769,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
110,10464 S. Jordan Gateway,South Jordan,UT,84095,209,700,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
111,10464 S. Jordan Gateway,South Jordan,UT,84095,210,886,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
112,10464 S. Jordan Gateway,South Jordan,UT,84095,211,892,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
113,10464 S. Jordan Gateway,South Jordan,UT,84095,212,756,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
114,10464 S. Jordan Gateway,South Jordan,UT,84095,213,882,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
115,10464 S. Jordan Gateway,South Jordan,UT,84095,214,884,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
116,10464 S. Jordan Gateway,South Jordan,UT,84095,215,718,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
117,10464 S. Jordan Gateway,South Jordan,UT,84095,216,727,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
118,10464 S. Jordan Gateway,South Jordan,UT,84095,217,838,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
119,10464 S. Jordan Gateway,South Jordan,UT,84095,218,897,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
120,10464 S. Jordan Gateway,South Jordan,UT,84095,219,890,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
121,10464 S. Jordan Gateway,South Jordan,UT,84095,220,869,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
122,10464 S. Jordan Gateway,South Jordan,UT,84095,221,703,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
123,10464 S. Jordan Gateway,South Jordan,UT,84095,222,790,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
124,10464 S. Jordan Gateway,South Jordan,UT,84095,223,893,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
125,10464 S. Jordan Gateway,South Jordan,UT,84095,224,736,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
126,10464 S. Jordan Gateway,South Jordan,UT,84095,225,728,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
127,10464 S. Jordan Gateway,South Jordan,UT,84095,226,738,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
128,10464 S. Jordan Gateway,South Jordan,UT,84095,227,861,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
129,10464 S. Jordan Gateway,South Jordan,UT,84095,228,805,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
130,10464 S. Jordan Gateway,South Jordan,UT,84095,229,846,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
131,10464 S. Jordan Gateway,South Jordan,UT,84095,230,755,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
132,10464 S. Jordan Gateway,South Jordan,UT,84095,231,762,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
133,10464 S. Jordan Gateway,South Jordan,UT,84095,232,806,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
134,10464 S. Jordan Gateway,South Jordan,UT,84095,233,890,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
135,10464 S. Jordan Gateway,South Jordan,UT,84095,234,860,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
136,10464 S. Jordan Gateway,South Jordan,UT,84095,235,810,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
137,10464 S. Jordan Gateway,South Jordan,UT,84095,236,844,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
138,10464 S. Jordan Gateway,South Jordan,UT,84095,237,895,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
139,10464 S. Jordan Gateway,South Jordan,UT,84095,238,838,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
140,10464 S. Jordan Gateway,South Jordan,UT,84095,239,851,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
141,10464 S. Jordan Gateway,South Jordan,UT,84095,240,782,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
142,10464 S. Jordan Gateway,South Jordan,UT,84095,241,855,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
143,10464 S. Jordan Gateway,South Jordan,UT,84095,242,846,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
144,10464 S. Jordan Gateway,South Jordan,UT,84095,243,854,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
145,10464 S. Jordan Gateway,South Jordan,UT,84095,244,751,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
146,10464 S. Jordan Gateway,South Jordan,UT,84095,245,880,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
147,10464 S. Jordan Gateway,South Jordan,UT,84095,246,832,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
148,10464 S. Jordan Gateway,South Jordan,UT,84095,247,802,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
149,10464 S. Jordan Gateway,South Jordan,UT,84095,248,876,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
150,10464 S. Jordan Gateway,South Jordan,UT,84095,249,789,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
151,10464 S. Jordan Gateway,South Jordan,UT,84095,250,723,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
152,10464 S. Jordan Gateway,South Jordan,UT,84095,251,788,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
153,10464 S. Jordan Gateway,South Jordan,UT,84095,252,824,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
154,10464 S. Jordan Gateway,South Jordan,UT,84095,253,819,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
155,10464 S. Jordan Gateway,South Jordan,UT,84095,254,772,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
156,10464 S. Jordan Gateway,South Jordan,UT,84095,255,877,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
157,10464 S. Jordan Gateway,South Jordan,UT,84095,256,706,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
158,10464 S. Jordan Gateway,South Jordan,UT,84095,257,708,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
159,10464 S. Jordan Gateway,South Jordan,UT,84095,258,727,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
160,10464 S. Jordan Gateway,South Jordan,UT,84095,259,851,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
161,10464 S. Jordan Gateway,South Jordan,UT,84095,260,848,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
162,10464 S. Jordan Gateway,South Jordan,UT,84095,261,852,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
163,10464 S. Jordan Gateway,South Jordan,UT,84095,262,899,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
164,10464 S. Jordan Gateway,South Jordan,UT,84095,263,734,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
165,10464 S. Jordan Gateway,South Jordan,UT,84095,264,785,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
166,10464 S. Jordan Gateway,South Jordan,UT,84095,265,756,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
167,10464 S. Jordan Gateway,South Jordan,UT,84095,266,830,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
168,10464 S. Jordan Gateway,South Jordan,UT,84095,267,835,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
169,10464 S. Jordan Gateway,South Jordan,UT,84095,268,721,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
170,10464 S. Jordan Gateway,South Jordan,UT,84095,269,832,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
171,10464 S. Jordan Gateway,South Jordan,UT,84095,270,728,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
172,10464 S. Jordan Gateway,South Jordan,UT,84095,271,773,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
173,10464 S. Jordan Gateway,South Jordan,UT,84095,272,868,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
174,10464 S. Jordan Gateway,South Jordan,UT,84095,273,850,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
175,10464 S. Jordan Gateway,South Jordan,UT,84095,274,794,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
176,10464 S. Jordan Gateway,South Jordan,UT,84095,275,890,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
